url,title,h1,intent,content_depth,unique_sections,tool_integration,internal_links_role,canonical,sitemap,traffic_gsc,backlinks,freshness_burden,overlap_score_0_to_5,decision,rationale
/netherlands/taxes/how-taxes-work-netherlands/,legacy alias,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_money_how_taxes,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Preserve external traffic; no content merge
/netherlands/taxes/tax-residency-netherlands/,legacy alias,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_money_residency,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Alias only
/netherlands/taxes/tax-return-netherlands/,legacy alias,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_money_return,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Alias only
/netherlands/taxes/healthcare-allowance/,short alias,n/a,DUPLICATE,redirect_only,none,none,nav_active_alias,301_to_healthcare-allowance-netherlands,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Short URL for legacy/nav
/netherlands/taxes/rent-allowance/,short alias,n/a,DUPLICATE,redirect_only,none,none,nav_active_alias,301_to_rent-allowance-netherlands,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Short URL for legacy/nav
/netherlands/taxes/childcare-allowance/,short alias,n/a,DUPLICATE,redirect_only,none,none,nav_active_alias,301_to_childcare-allowance-netherlands,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Short URL for legacy/nav
/netherlands/money/tools/30-ruling-calculator/,legacy tool URL,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_taxes_tools,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Tool canonicalize under taxes
/netherlands/money/tools/dutch-salary-net-calculator/,legacy tool URL,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_taxes_tools,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Tool canonicalize under taxes
/netherlands/money/tools/double-tax-awareness-tool/,legacy tool URL,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_taxes_tools,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Tool canonicalize under taxes
/netherlands/health/tools/healthcare-allowance-estimator/,legacy tool URL,n/a,DUPLICATE,redirect_only,none,none,legacy,301_to_taxes_tools,excluded,unavailable,unavailable,none,5,301_TO_CANONICAL,Tool canonicalize under taxes
/netherlands/taxes/tools/dutch-payslip-decoder/,alias,n/a,DUPLICATE,redirect_only,none,none,alias,301_to_work_payslip,n/a,unavailable,unavailable,none,5,301_TO_CANONICAL,Payslip lives under work tools
/netherlands/money/taxes/,missing hub,n/a,DUPLICATE,dead_nav_target,none,none,stale_nav,n/a,no,unavailable,unavailable,none,5,NO_ACTION,Removed from config/nav; no page to merge
/netherlands/money/taxes/readiness-score,missing,n/a,DUPLICATE,dead_nav_target,none,none,stale_nav,n/a,no,unavailable,unavailable,none,5,NO_ACTION,Removed from config/nav
/netherlands/money/taxes/employment-overview,missing,n/a,DUPLICATE,dead_nav_target,none,none,stale_nav_registry,n/a,no,unavailable,unavailable,none,5,NO_ACTION,Retargeted nav/registry to payroll-tax / taxes hub
/netherlands/taxes/income-tax-netherlands/,planned,n/a,SPECIFIC_TAX_TOPIC,coming_soon,none,none,planned,n/a,no,unavailable,unavailable,n/a,4,REPOSITION,Hub cards temporarily point to how-taxes-work until page ships
/netherlands/taxes/box-tax-system-netherlands/,planned,n/a,SPECIFIC_TAX_TOPIC,coming_soon,none,none,planned,n/a,no,unavailable,unavailable,n/a,4,REPOSITION,Hub FAQ temporarily points to how-taxes-work
/netherlands/living/road-tax-netherlands/,Road tax (MRB),Road tax,SUPPORTING_CONTENT,living_guide,vehicle_MRB,none,living_adjacent,self,yes,unavailable,unavailable,medium,0,KEEP_DISTINCT,Not income-tax IA; leave in Living
