url,asset_type,current_quality,unique_value,target_audience,citation_value,outreach_value,competitive_moat,improvement_needed,priority,notes
https://www.expatcopilot.com/netherlands/living/tools/utilities-services-comparison/,COMPARISON,medium,medium,movers;expat communities,low,medium,low,Clear criteria; avoid thin affiliate feel,P3,"Netherlands Utilities & Household Services — Guide + Planner (id=utilities-services-comparison-tool, templateType=comparison). Guide+planner more than unique data"
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,CALCULATOR,high,medium,movers;relocation companies;HR;journalists;expat communities,medium,high,medium,Publish city cost seed + methodology as DATA_RESOURCE,P0,"Expat Cost of Living Calculator (id=expat-cost-of-living-calculator, templateType=calculator). Strong utility; seed is editorial estimates not CBS"
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/,INTERACTIVE_TOOL,medium,medium,movers;HR onboarding;expat communities,low,medium,medium,HR onboarding packs; week-1 printable,P2,"Arrival Planner (id=arrival-planner, templateType=planner). Internal utility > press citations"
https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/,INTERACTIVE_TOOL,medium,medium,movers;HR;expat communities,low,medium,medium,Employer onboarding export,P2,"First 90 Days Planner (id=first-90-days, templateType=planner). Same class as arrival planner"
https://www.expatcopilot.com/netherlands/moving/tools/hsm-salary-checker/,CALCULATOR,high,high,employers;HR;recruiters;universities;movers,high,high,medium,Embeddable widget; yearly changelog; thresholds CSV,P0,"Highly Skilled Migrant Salary Checker (id=hsm-salary-checker, templateType=checker). Official IND floors — employers/HR cite often"
https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/,CHECKLIST,high,medium,movers;relocation companies;expat communities;universities,medium,high,medium,Keep PDF + date stamp; avoid diluting with thin /from/ variants,P1,"Moving Checklist Generator (id=moving-checklist, templateType=planner). Evergreen checklist magnet"
https://www.expatcopilot.com/netherlands/moving/tools/relocation-cost-estimator/,CALCULATOR,medium,medium,movers;relocation companies,medium,high,medium,Itemized PDF breakdown; transparent assumptions,P1,"Relocation Cost Estimator (id=relocation-cost-estimator, templateType=calculator). Natural relocator reference if transparent"
https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator/,CALCULATOR,high,high,employers;HR;tax advisors;movers;journalists,high,high,medium,Publish norms/cap as citeable reference; scenario PDF,P0,"30% Ruling Eligibility Calculator (id=thirty-percent-ruling-calculator, templateType=calculator). High citation demand; YMYL-sensitive"
https://www.expatcopilot.com/netherlands/taxes/tools/double-tax-awareness-tool/,INTERACTIVE_TOOL,medium,medium,movers;HR;tax advisors,medium,medium,low,Treaty overview dataset companion,P2,"Double Tax Awareness Tool (id=double-tax-awareness-tool, templateType=checker). Sometimes cited in explainers"
https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator/,CALCULATOR,medium,medium,movers;job seekers;HR;recruiters,medium,high,low,Disclose tax-year assumptions; export,P1,"Dutch Salary Net Calculator (id=dutch-salary-net-calculator, templateType=calculator). Competitive category; need clear year labeling"
https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator/,CALCULATOR,medium,high,movers;families;HR;journalists,medium,high,medium,Cite SVB/Belastingdienst year; scenario table,P1,"Healthcare Allowance Estimator Netherlands (id=healthcare-allowance-estimator, templateType=calculator). Thresholds citeable if dated"
https://www.expatcopilot.com/netherlands/tools/bank-comparison/,COMPARISON,medium,low,movers;expat communities,low,medium,low,Unique scoring beyond affiliate list,P2,"Bank Comparison Tool for Expats in the Netherlands (id=netherlands-bank-comparison-tool, templateType=comparison). Affiliate-adjacent; weak natural links"
https://www.expatcopilot.com/netherlands/tools/banking-cost-estimator/,CALCULATOR,medium,medium,movers;expat communities,low,medium,low,Fee assumption transparency,P3,"Banking Cost Estimator for Expats in the Netherlands (id=netherlands-banking-cost-estimator, templateType=calculator). Narrow niche"
https://www.expatcopilot.com/netherlands/tools/city-comparison/,COMPARISON,high,high,movers;HR location strategy;journalists;expat communities,medium,high,medium,Publish scoring methodology + city factor table,P0,"Netherlands City Comparison Tool (id=netherlands-city-comparison-tool, templateType=comparison). Proprietary scoring + COL bridge"
https://www.expatcopilot.com/netherlands/tools/transfer-cost-calculator/,CALCULATOR,medium,medium,movers;expat communities,low,medium,low,Hard to out-cite specialist FX sites,P3,"International Transfer Cost Calculator (id=netherlands-transfer-cost-calculator, templateType=calculator). Competitive FX niche"
https://www.expatcopilot.com/netherlands/visa-application-plan/,INTERACTIVE_TOOL,medium,medium,movers;relocation companies,low,medium,medium,Exportable plan PDF; low citation as statistic,P2,"Personalized Visa Application Plan (id=visa-application-plan, templateType=planner). High utility, lower citation"
https://www.expatcopilot.com/netherlands/visa-checker/,INTERACTIVE_TOOL,medium,medium,movers;immigration advisors;expat communities,medium,high,medium,Sharable results URL + route comparison export; clearer methodology vs IND,P1,"Visa Checker (id=visa-checker, templateType=checker). High search/share potential; crowded category"
https://www.expatcopilot.com/netherlands/visa-cost-calculator/,CALCULATOR,medium,medium,movers;relocation companies;HR mobility,medium,high,medium,Dated fee table + CSV export; historical fee archive,P1,"Visa Cost Calculator (id=visa-cost-calculator, templateType=calculator). Cites IND fees; strong if kept current"
https://www.expatcopilot.com/netherlands/visa-timeline-estimator/,CALCULATOR,medium,medium,movers;HR;immigration advisors,medium,medium,low,Show ranges + official processing caveats,P2,"Visa Timeline Estimator (id=visa-timeline-estimator, templateType=planner). Linkable if source-backed"
https://www.expatcopilot.com/netherlands/work/tools/employment-contract-risk-scanner/,INTERACTIVE_TOOL,medium,high,employees;HR,medium,medium,high,Clause pattern transparency; not legal advice,P1,"Dutch Employment Contract Risk Scanner (id=employment-contract-risk-scanner, templateType=scanner). Differentiated scanner; YMYL outreach caution"
https://www.expatcopilot.com/netherlands/work/tools/employment-type-scenario-tool/,INTERACTIVE_TOOL,medium,medium,job seekers;HR,low,medium,medium,Decision tree export,P2,"Employment Type Scenario Tool (id=employment-type-scenario-tool, templateType=comparison). Useful; weaker link magnet"
https://www.expatcopilot.com/netherlands/work/tools/job-offer-comparison/,INTERACTIVE_TOOL,medium,high,job seekers;HR;recruiters,medium,high,medium,Offer scorecard export; employer-safe disclaimer,P1,"Job Offer Comparison Tool (id=job-offer-comparison-tool, templateType=comparison). Differentiated for NL expat offers"
https://www.expatcopilot.com/netherlands/work/tools/payslip-decoder/,INTERACTIVE_TOOL,high,high,employees;HR;expat communities;journalists,medium,high,high,Companion line-item glossary REFERENCE page,P0,"Dutch Payslip Decoder (id=payslip-decoder, templateType=checker). Rare NL payslip PDF decoder"
https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,GUIDE,high,medium,movers;relocation companies;universities,medium,medium,low,Add citeable stats module linking official-figures,P2,Cornerstone hub — navigational resource more than unique data
https://www.expatcopilot.com/netherlands/moving-checklist-netherlands/,CHECKLIST,high,medium,movers;relocation companies;universities,medium,high,medium,Maintain PDF download; keep date-stamped,P1,Static checklist + PDF API — classic linkable class
https://www.expatcopilot.com/netherlands/documents-needed-to-move-netherlands/,CHECKLIST,high,medium,movers;universities;HR,medium,high,medium,Country-specific document matrix export,P1,Evergreen reference for admissions/HR packs
https://www.expatcopilot.com/netherlands/visa/highly-skilled-migrant/,GUIDE,high,medium,employers;HR;movers;recruiters,medium,high,low,Keep salary floors synced to official-figures,P1,Employer/HR HSM explainer demand
https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling/,GUIDE,high,medium,employers;HR;tax advisors;journalists,high,high,low,Pair with calculator + dated norms table,P1,High citation topic; guide not original research
https://www.expatcopilot.com/netherlands/taxes/average-salary-netherlands/,STATISTICS_RESOURCE,medium,low,journalists;HR;movers,medium,medium,low,Cite CBS/primary sources; avoid undated averages,P2,Salary stats earn links only if primary-sourced
https://www.expatcopilot.com/netherlands/money/cost-of-living-netherlands/,GUIDE,medium,low,movers;journalists,low,medium,low,Surfaces COL calculator; thin without published dataset,P2,Guide wrapper around calculator
https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,COMPARISON,high,medium,movers;journalists;expat communities,medium,medium,low,Refresh with city-comparison tool data exports,P2,Strong tables; editorial not proprietary research
https://www.expatcopilot.com/netherlands/eu-vs-non-eu-moving-to-netherlands/,COMPARISON,medium,medium,movers;HR;universities,medium,medium,low,Decision matrix graphic,P2,HR mobility education
https://www.expatcopilot.com/netherlands/jobs/contractor-vs-employee-netherlands/,COMPARISON,medium,medium,job seekers;HR,medium,medium,low,Link employment-type tool outputs,P2,HR talent content opportunity
https://www.expatcopilot.com/netherlands/housing/buy-vs-rent-netherlands/,COMPARISON,medium,low,movers,low,low,low,Needs calculator depth to compete,P3,Common topic; weak moat
https://www.expatcopilot.com/netherlands/money/banking/wise-vs-revolut/,COMPARISON,medium,low,movers;expat communities,low,low,low,Fee tables stale vs specialists,P3,Affiliate-adjacent; weak authority links
https://www.expatcopilot.com/netherlands/money/banking/best-banks-expats/,GUIDE,medium,low,movers;expat communities,low,medium,low,Unique testing data would help,P3,Commercial listicle class
https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands/,COMPARISON,medium,medium,movers;HR;families,medium,medium,low,Year-dated premium bands + eigen risico cite block,P2,Seasonal citeability
https://www.expatcopilot.com/netherlands/life/dating-in-the-netherlands/,GENERIC_ARTICLE,medium,low,expat communities,low,low,low,Not a priority for authority links,P3,Lifestyle — natural backlinks unlikely
https://www.expatcopilot.com/netherlands/family/family-activities-netherlands/,GENERIC_ARTICLE,medium,low,families;expat communities,low,low,low,Local list content — weak link magnet,P3,Generic lifestyle
https://www.expatcopilot.com/netherlands/living/survival-guide/,GUIDE,medium,low,expat communities,low,low,low,Community shares > editorial citations,P3,Broad lifestyle hub
https://www.expatcopilot.com/netherlands/amsterdam/,GUIDE,medium,low,movers;expat communities,low,medium,low,Needs unique city data to earn links,P3,City hub — navigational
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/south-africa/,GUIDE,medium,medium,movers from ZA;expat communities;relocation companies,low,medium,low,Unique country document deltas would raise linkability,P3,Origin pages useful but often template-thin for links
https://www.expatcopilot.com/netherlands/services/,GUIDE,low,low,movers,low,low,low,Directory hub — weak for authority links,P3,Service directory
https://www.expatcopilot.com/netherlands/tools/,REFERENCE_CONTENT,medium,low,movers;partners,low,medium,low,Position as tool index for partners,P3,Discovery hub not citation asset
https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/{country}/,CHECKLIST,medium,low,movers;relocation companies;expat communities,low,low,low,Only link-worthy with unique country document/legalisation deltas; else consolidate to parent,P3,Pattern: ~30 countries × several tools. Template expansions — weak individual link targets. Not 120 separate magnets.
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/#dataset-opportunity,DATA_RESOURCE,low,high,journalists;researchers;relocation companies;HR,high,high,high,Publish CITY_COST_SEED as versioned CSV/JSON with methodology and as-of dates,P0,"LATENT: editorial city cost seed in code — not yet public downloadable dataset. Planning estimates, not CBS."
https://www.expatcopilot.com/netherlands/tools/city-comparison/#dataset-opportunity,DATA_RESOURCE,low,high,journalists;HR location strategy;researchers,high,high,high,Export city factor/score inputs + methodology,P0,LATENT: proprietary city scoring profiles — publishable open methodology.
https://www.expatcopilot.com/netherlands/official-figures/#machine-readable,DATA_RESOURCE,medium,high,developers;journalists;HR systems,high,high,medium,Add API or static JSON mirror of officialFiguresRows,P1,LATENT extension of existing STATISTICS_RESOURCE.
https://www.expatcopilot.com/netherlands/document-readiness-checker/#country-matrix,DATA_RESOURCE,low,high,universities;relocation companies;HR,medium,high,medium,Publish origin-country document requirement matrix CSV,P1,LATENT: country datasets in document readiness + country guides.
https://www.expatcopilot.com/netherlands/moving/tools/hsm-salary-checker/#history,STATISTICS_RESOURCE,low,high,HR;employers;journalists,high,high,medium,Historical HSM salary floor table by year,P1,LATENT: only current-year thresholds in code; archive would raise citation value.
https://www.expatcopilot.com/netherlands/integration/tools/knm-knowledge-quiz/,INTERACTIVE_TOOL,low,low,movers,low,low,low,Ship unique live utility before any linkability claims,P3,PLACEHOLDER (KNM Knowledge Quiz) — not a current linkable asset.
https://www.expatcopilot.com/netherlands/housing/tools/buy-vs-rent-calculator/,CALCULATOR,low,low,movers,low,low,low,Ship unique live utility before any linkability claims,P3,PLACEHOLDER (Buy vs Rent Calculator) — not a current linkable asset.
https://www.expatcopilot.com/netherlands/health/tools/dutch-health-insurance-comparison-tool/,CALCULATOR,low,low,movers,low,low,low,Ship unique live utility before any linkability claims,P3,PLACEHOLDER (Dutch Health Insurance Comparison Tool) — not a current linkable asset.
https://www.expatcopilot.com/netherlands/housing/tools/mortgage-eligibility-estimator/,CALCULATOR,low,low,movers,low,low,low,Ship unique live utility before any linkability claims,P3,PLACEHOLDER (Mortgage Eligibility Estimator) — not a current linkable asset.
https://www.expatcopilot.com/netherlands/tools/advanced/ai-personal-benefits-finder/,INTERACTIVE_TOOL,low,low,movers,low,low,low,Ship unique live utility before any linkability claims,P3,PLACEHOLDER (AI Personal Benefits Finder) — not a current linkable asset.
(none — no primary original research asset identified),ORIGINAL_RESEARCH,low,low,journalists;researchers,low,low,low,"Would require primary surveys, proprietary scrapes with methodology, or unique longitudinal datasets — not present as published research today",P3,Audit finding: site curates/repackages official figures and editorial estimates. Do not classify official-figures or COL seed as ORIGINAL_RESEARCH.
