rank,url,page_type,cluster,opportunity_score,recommended_action,gsc_impressions,gsc_position,gsc_ctr,search_demand_proxy,page_quality_proxy,internal_link_strength,business_usefulness,ability_to_improve,evidence_basis,priority,confidence,notes
14,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,GUIDE,moving,81,IMPROVE_INTERNAL_LINKS,,,,high,yes,sitewide_only,high,high,"Cornerstone; link orphans; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
15,https://www.expatcopilot.com/netherlands/moving/tools/relocation-cost-estimator/,CALCULATOR,moving,78,ENRICH,,,,medium,yes,strong_contextual,high,medium,"Relocator RFP utility; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
16,https://www.expatcopilot.com/netherlands/leaving/tools/repatriation-cost-calculator/,CALCULATOR,leaving,77,ENRICH,,,,medium,soft,moderate_contextual,medium,medium,"Fewer competitors; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
17,https://www.expatcopilot.com/netherlands/work/tools/job-offer-comparison/,INTERACTIVE_TOOL,working,76,ENRICH,,,,medium,yes,strong_contextual,medium,medium,"HR talent content; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
18,https://www.expatcopilot.com/netherlands/taxes/tools/healthcare-allowance-estimator/,CALCULATOR,healthcare,75,ENRICH,,,,medium,yes,strong_contextual,medium,medium,"Dated thresholds citeable; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
19,https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands/,COMPARISON,healthcare,74,OPTIMIZE,,,,high,yes,strong_contextual,high,medium,"Seasonal demand; schema/trust; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
20,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,COMPARISON,cities,73,OPTIMIZE,,,,medium,yes,weak_contextual,medium,medium,"Strong tables; export tool data; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
21,https://www.expatcopilot.com/netherlands/,HUB,netherlands_hub,72,TECHNICAL_FIX,,,,high,yes,sitewide_only,high,high,"Entry URL; TBT+slash debt; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
22,https://www.expatcopilot.com/netherlands/moving-to-netherlands-from/,GUIDE,country_origin,70,IMPROVE_INTERNAL_LINKS,,,,medium,no,strong_contextual,high,high,"Origin hub → tool children; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
23,https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,GUIDE,first_90_days,69,IMPROVE_INTERNAL_LINKS,,,,medium,yes,strong_contextual,high,high,"Cluster fragmented; 30 orphans; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
24,https://www.expatcopilot.com/netherlands/document-readiness-checker/,CHECKLIST,moving,68,ENRICH,,,,medium,yes,strong_contextual,medium,medium,"Country matrix dataset latent; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
25,https://www.expatcopilot.com/netherlands/work/tools/employment-contract-risk-scanner/,INTERACTIVE_TOOL,working,67,ENRICH,,,,medium,soft,strong_contextual,medium,medium,"Differentiated; YMYL caution; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P2,medium,Do not invent GSC; re-rank when exports available
26,(sitewide),technical,sitewide,91,TECHNICAL_FIX,,,,n/a,n/a,n/a,high,high,Trailing slash/canonical/sitemap 308 sitewide — prerequisite for efficient growth,P1,high,Listed as #26 sitewide enabler; Top 25 are existing pages
27,(pattern) /netherlands/moving/tools/*/from/{country}/,tool_calculator,moving,80,IMPROVE_INTERNAL_LINKS,,,,medium,template_thin_risk,orphan,medium,high,~90 moving-cluster orphans; prefer linking+enrichment over mass consolidate,P1,high,Pattern opportunity spanning many URLs
